AverageReturn,MeanKLBefore,MinReturn,Entropy,StdReturn,NumTrajs,AverageDiscountedReturn,dLoss,MaxReturn,AveragePolicyStd,LossAfter,Perplexity,MeanKL,Iteration,LossBefore,ExplainedVariance
-1378.78645622,0.0,-1530.03692363,1.4189385332,89.5663632672,34,-282.759585699,14.979339119,-1154.89617075,1.0,-514.979339119,4.13273135412,0.00874953200477,0,-500.0,1.95121696578e-12
-1416.81548137,0.0,-1513.89427305,1.42175618827,76.0769612143,34,-287.356153983,10.7239031268,-1243.23620909,1.00282162838,-510.723903127,4.14439238621,0.00860857370907,1,-500.0,0.945842251763
-1406.54592354,0.0,-1564.53095436,1.42201274554,71.5684097475,34,-288.178680618,19.8494259225,-1247.13212065,1.00307894257,-519.849425923,4.14545579663,0.00749021862259,2,-500.0,0.930825034344
-1362.481186,0.0,-1494.6798365,1.41559904358,75.4082787627,34,-283.748906129,25.3936917853,-1213.3939959,0.996666080266,-525.393691785,4.11895315951,0.00791411553396,3,-500.0,0.914508572467
-1358.63511167,0.0,-1477.90221367,1.43206036787,67.6927747786,34,-282.472986665,27.1804605351,-1176.3879301,1.01320830374,-527.180460535,4.18731772512,0.00944593857699,4,-500.0,0.927751266921
-1323.40597534,0.0,-1461.71849023,1.44761078063,88.9034760897,34,-275.761241055,30.9345322809,-1097.09013518,1.0290872532,-530.934532281,4.25294115742,0.00874446520336,5,-500.0,0.912380908709
-1306.81107885,0.0,-1492.47380389,1.46517715647,88.4180457732,34,-277.335198492,13.5105369594,-1126.664749,1.04732429709,-513.510536959,4.32830996051,0.00992371653345,6,-500.0,0.906366949342
-1255.33592526,0.0,-1425.31586365,1.45443305079,73.6572705818,34,-268.532094692,13.3685767648,-1096.9639456,1.03613196761,-513.368576765,4.28205506953,0.00816915863027,7,-500.0,0.922379599479
-1240.01796087,0.0,-1421.53831156,1.47096585605,68.7808437559,34,-257.378958049,17.6966591581,-1157.95206269,1.05340452412,-517.696659158,4.35343790542,0.00605707043694,8,-500.0,0.923771234086
-1233.37108472,0.0,-1447.03962972,1.48465193444,67.12272997,34,-261.123819441,17.5366472936,-1095.18354234,1.06792060858,-517.536647294,4.41342898279,0.00696748830964,9,-500.0,0.913506364391
-1228.18558407,0.0,-1363.70420549,1.49234082692,85.0420998533,34,-256.61360129,13.2637742129,-1039.64454056,1.07616338361,-513.263774213,4.44749415762,0.00594152841793,10,-500.0,0.910278960831
-1230.85532556,0.0,-1377.69330017,1.47820117553,70.8954036618,34,-254.962652896,20.036214348,-1033.64835815,1.06105388181,-520.036214348,4.38505064576,0.00698500284216,11,-500.0,0.911686984447
-1224.4318704,0.0,-1356.8533472,1.48092723074,76.3231285538,34,-254.217592513,12.5409314118,-1083.15686242,1.0639503194,-512.540931412,4.39702084421,0.00703639615974,12,-500.0,0.90533500005
-1187.41849318,0.0,-1265.76087298,1.49650027828,41.3831489606,34,-244.09965873,14.1369911472,-1102.28628317,1.08064895515,-514.136991147,4.46603181973,0.00887297726034,13,-500.0,0.931386383777
-1232.04747952,0.0,-1408.50139944,1.50609030015,78.0584985009,34,-254.331019175,9.19479687142,-1104.17054674,1.09106225434,-509.194796871,4.50906718781,0.00582470335364,14,-500.0,0.907294244961
