MaxReturn,LossAfter,NumTrajs,MinReturn,StdReturn,Perplexity,LossBefore,dLoss,Iteration,MeanKL,AverageReturn,AverageDiscountedReturn,Entropy,ExplainedVariance,AveragePolicyStd,MeanKLBefore
-239.883172373,-2355.51754307,204,-325.965547602,16.9770240806,4.13273135412,-4.49404069514e-10,2355.51754307,0,0.00739205630892,-288.413669687,-184.07752967,1.4189385332,3.59290375229e-12,1.0,0.0
-215.092468623,-2754.24354892,203,-327.244438476,20.7435315133,4.15821136984,-2.5113493507e-09,2754.24354892,1,0.00570086804781,-283.58818116,-181.056506379,1.42508502264,0.960806142287,1.00616541787,0.0
-215.300771394,-4133.6080524,204,-317.440790279,22.9085652507,4.14163556369,1.81050552328e-09,4133.6080524,2,0.0093771440314,-274.678244914,-175.928309744,1.42109077351,0.95244274108,1.00215455804,0.0
-205.704090855,-3709.13443555,204,-316.250284824,23.3416552417,4.20945674812,3.85546172765e-09,3709.13443555,3,0.00993505531425,-259.804932165,-167.628763015,1.43733360092,0.939708022295,1.01856529917,0.0
-192.187117426,-2104.70423936,204,-306.29733698,24.3084796263,4.19296799504,-3.73302100343e-09,2104.70423936,4,0.0084677291878,-251.520052554,-162.255300652,1.43340883521,0.932613881191,1.01457550365,0.0
-187.434612785,-2330.4764171,204,-299.856986043,17.805380976,4.19027420932,1.13834630611e-09,2330.4764171,5,0.00932682827402,-241.677297848,-156.856874062,1.43276617555,0.947456857205,1.01392368636,0.0
-190.550873992,-1452.89632311,204,-295.30055669,15.9961546269,4.17171517704,-2.25342944304e-09,1452.89632311,6,0.00908102127419,-236.178122044,-152.989245915,1.42832726468,0.954452876242,1.00943294388,0.0
-186.368534349,-2091.28213027,204,-296.905593573,17.6616397692,4.14380129827,-7.31972704671e-10,2091.28213027,7,0.00917292551352,-236.455639197,-152.9417471,1.42161355455,0.9496593765,1.00267860241,0.0
-194.297729099,-1689.05098742,204,-287.065370366,16.9121621906,4.04424578906,2.70262034974e-09,1689.05098743,8,0.0060957270811,-232.334216107,-150.870688767,1.39729507801,0.948004939299,0.978589083713,0.0
-176.891665353,-1723.65498774,204,-286.926701438,16.9503286588,4.04702455958,-6.98433311186e-10,1723.65498774,9,0.00921502025505,-233.586416857,-151.804470094,1.39798193446,0.95012423454,0.979261464829,0.0
-189.839898035,-2069.92656385,204,-295.813734555,17.0285790703,4.03306876682,1.51207046883e-10,2069.92656385,10,0.00828888208274,-229.449214034,-149.547057387,1.39452756678,0.945367046063,0.975884571542,0.0
-185.609259857,-2143.07086495,203,-287.344690927,14.2244009339,4.01973304304,-1.82353687705e-10,2143.07086495,11,0.0098998563356,-226.80308262,-147.53906971,1.39121549322,0.956437229947,0.972657716798,0.0
-174.983052358,-1830.45947039,204,-265.55328502,16.2729940537,4.04602163765,-3.65899666122e-09,1830.45947038,12,0.00625348657239,-224.449154341,-146.239204503,1.39773408664,0.949581927756,0.979018787082,0.0
-175.320466127,-1974.05699943,204,-262.237291834,16.5298641041,3.95917193068,-1.09275166693e-09,1974.05699942,13,0.00702295016825,-222.179585233,-144.777519584,1.37603489499,0.942081900737,0.958003700562,0.0
-169.913068931,-1910.75527882,204,-270.799396831,15.3189514697,3.97795845712,-4.79182205027e-09,1910.75527881,14,0.00782286697918,-220.450585628,-143.852563631,1.38076873722,0.948707577032,0.962549489976,0.0
-169.640618885,-2749.58361061,204,-272.483634946,17.547254681,3.9785689508,1.92873983451e-09,2749.58361061,15,0.00922615488971,-215.666823733,-141.014787309,1.38092219454,0.937589293645,0.962697211574,0.0
-156.798249602,-2790.72717984,204,-259.320118825,18.0123580568,3.97846747727,1.66372160493e-09,2790.72717984,16,0.00858691552765,-208.464681281,-136.715960726,1.38089668918,0.924958599384,0.96267265795,0.0
-150.978392114,-2819.31925703,204,-263.044005589,20.892823596,3.98022698598,7.83186848707e-10,2819.31925703,17,0.00739638360416,-203.079525663,-134.046416813,1.38133884932,0.904864924521,0.963098407548,0.0
