AverageDiscountedReturn,MaxReturn,Total cost,dLoss,MeanKLBefore,Entropy,AverageReturn,Perplexity,NumTrajs,StdReturn,ExplainedVariance,MinReturn,LossAfter,Iteration,AveragePolicyStd,LossBefore,MeanKL
-158.732998523,-178.700790775,350.0433980847046,0.205196209714,0.0,1.4189385332,-243.822768464,4.13273135412,104,32.1712006584,4.90840701417e-12,-317.20288847,-0.205196209714,0,1.0,-0.0,0.0038942064021
-165.943432264,-198.950335475,351.72219909881403,0.00276298832592,0.0,1.40554422352,-256.570640046,4.07774534245,104,30.611101507,0.907637060917,-317.377946724,-0.00276298832592,1,0.986694994917,9.28212463784e-17,0.00805721165515
-171.461919592,-199.870986528,349.28692901071014,0.0736002601685,0.0,1.37911735102,-265.059642306,3.97139473253,104,31.1396096432,0.914697033719,-330.601962231,-0.0736002601685,2,0.960961260783,2.6872464323e-16,0.00238464090878
-168.528521724,-196.891510856,343.0545011710728,0.00395490853957,0.0,1.37425102227,-258.966878561,3.9521155676,104,30.7218523182,0.906944370178,-332.732828504,-0.00395490853957,3,0.956296267276,2.46265659175e-16,0.00691711802346
-159.317991914,-186.469168396,328.59373103597613,0.255159239927,0.0,1.34301861413,-244.894115387,3.8305891412,104,26.4376964898,0.907019915475,-307.092633833,-0.255159239927,4,0.92689042983,-1.88306579431e-17,0.00714861035361
-160.527622805,-194.040690571,321.7219100389955,0.223817854621,0.0,1.31510347352,-246.116451305,3.72513641829,104,28.3451474904,0.911463741635,-317.218152795,-0.223817854621,5,0.901373958067,-2.70832905636e-16,0.00538814686704
-159.956850806,-179.513186221,316.2937385348398,0.157106764518,0.0,1.28087375632,-246.476753536,3.59978368557,104,24.1576756496,0.921124482588,-298.263285054,-0.157106764518,6,0.87104226651,4.72467419779e-16,0.00925577033785
-153.733570867,-196.558091823,306.6594609989387,0.577741317605,0.0,1.2366872854,-236.919112538,3.44418494374,104,22.6231916187,0.925455951127,-303.35620265,-0.577741317605,7,0.833391926215,-1.5094097082e-18,0.00579192011449
-150.842989344,-170.53159051,297.59770932360885,0.367836534297,0.0,1.21701075154,-232.573105529,3.37707770613,104,20.3086677909,0.926566247104,-294.159428393,-0.367836534297,8,0.81715393931,2.04087556413e-16,0.00675874532754
-152.766336674,-177.642096769,288.9781833281837,0.53808330116,0.0,1.18672614091,-233.4235823,3.27633736321,104,26.4710596014,0.90182310521,-300.403185203,-0.53808330116,9,0.792777725546,-5.39082632639e-17,0.0071348135678
-154.626070878,-179.232848312,284.4460213047596,0.25648115478,0.0,1.15265204211,-236.264032924,3.1665796864,104,25.1574641342,0.914603004079,-310.862578375,-0.25648115478,10,0.766219580967,2.19445367487e-16,0.00770479595826
-151.432398792,-172.19713876,277.3540339408308,0.223209203738,0.0,1.13771930123,-231.824191443,3.11964527433,104,25.534490484,0.907167491339,-303.191459801,-0.223209203738,11,0.754862827273,-3.32891864862e-16,0.00854803276329
-148.569072846,-163.830653728,269.89941204866466,0.151805992112,0.0,1.09694943609,-226.060625047,2.99501558758,104,26.940602539,0.894618784504,-303.732543669,-0.151805992112,12,0.724706091673,4.97369690427e-18,0.007242336214
-146.034000632,-173.585159989,260.9705301869082,0.253550629218,0.0,1.08232092291,-221.106442012,2.95152186246,104,22.9866953475,0.911834263974,-282.957595835,-0.253550629218,13,0.714181883494,3.72456343513e-16,0.00677006435393
-145.354066328,-159.321415285,261.14300228878363,0.261463423709,0.0,1.07038089284,-221.469463939,2.91649015866,104,27.3596292499,0.880289312487,-302.674137376,-0.261463423709,14,0.705705236743,-2.296991366e-16,0.00735923550015
-144.908112638,-165.343043097,255.87562469066359,0.168269765221,0.0,1.04533926615,-220.779687203,2.84436335618,104,30.9145726975,0.85688809517,-307.764609359,-0.168269765221,15,0.688252662091,-2.36462124042e-16,0.00840870357352
-140.207723695,-158.472424098,242.90825920461975,0.261094337665,0.0,1.01368503816,-211.441404449,2.75573732439,104,29.3955063118,0.857584434107,-288.796310209,-0.261094337665,16,0.666807756968,-1.56180003441e-16,0.00896242326988
-135.939478945,-159.120870544,234.73876721241842,0.220503250238,0.0,0.968381915718,-204.427422359,2.63367949436,104,25.350933114,0.868898269395,-257.980590397,-0.220503250238,17,0.6372733354,1.43565531804e-16,0.00440250784546
-135.7461498,-142.967471305,232.0506647903997,0.340166062195,0.0,0.951092728519,-204.225373454,2.58853668231,104,27.7207088584,0.861094843436,-277.630348255,-0.340166062195,18,0.626350096462,1.20228385014e-16,0.00775783024016
-134.305527111,-125.564195988,231.52800706081817,0.162471828129,0.0,0.937898019986,-202.540378648,2.55460604,104,30.2538703028,0.828540988113,-270.21038541,-0.162471828129,19,0.61813987436,5.64743002329e-16,0.00403545045395
-128.709007799,-146.341312809,220.42954801719378,0.439210913516,0.0,0.929972455441,-191.247989669,2.53443936664,104,26.9766428455,0.852504370055,-281.883797819,-0.439210913516,20,0.613260129796,-1.85006570789e-16,0.00786440115938
-126.559724915,-128.335143081,218.4621818984563,0.115754831971,0.0,0.913559374312,-188.89361542,2.493180923,104,29.951206781,0.823387251361,-269.215883732,-0.115754831971,21,0.603276794296,-4.59795403329e-16,0.00718911822795
-125.727286919,-122.613159098,212.64028709282363,0.2191985028,0.0,0.89253750328,-185.739227725,2.44131664721,104,29.0998496291,0.817655293516,-260.929842602,-0.2191985028,22,0.590727157906,-7.93341484201e-16,0.00648681021276
-117.991427661,-108.747438012,203.26597536714425,0.206309760136,0.0,0.886120828957,-171.421324872,2.42570166507,104,33.6735384035,0.764750240027,-282.84784095,-0.206309760136,23,0.586948789364,-5.24674314857e-16,0.00574806336199
