Iteration,AverageDiscountedReturn,AveragePolicyStd,AverageReturn,Perplexity,ExplainedVariance,Entropy,Total cost,MeanKL,MeanKLBefore,dLoss,LossAfter,LossBefore,StdReturn,MaxReturn,MinReturn,NumTrajs
0,-158.98655067,1.0,-244.194865693,4.13273135412,4.88831197742e-12,1.4189385332,350.44460256462446,0.00628366280784,0.0,0.0220514260268,-0.0220514260268,-0.0,32.1869899961,-178.700790775,-317.20288847,104
1,-164.276920535,0.979178998501,-253.26233504,4.04668374841,0.896872648296,1.39789771814,345.0135903330163,0.00393770572163,0.0,0.101220486141,-0.101220486141,-2.67731436643e-16,31.6912591176,-176.79930097,-324.681235263,104
2,-165.442993341,0.945127808014,-254.629330577,3.90595932583,0.911894167924,1.36250341915,334.97287955031163,0.00880553673682,0.0,0.153871312636,-0.153871312636,1.04785928489e-16,29.2611414052,-189.355412083,-317.581894655,104
3,-167.712220916,0.916917961273,-258.58960258,3.78937560771,0.91489088128,1.33220125822,329.280910711062,0.00316911953216,0.0,0.180651617026,-0.180651617026,1.76872809028e-16,28.6833403172,-186.384041303,-320.111040604,104
4,-164.86504579,0.892312888559,-252.73072985,3.68768945224,0.887777613826,1.30500009722,317.7600071097673,0.00373222807644,0.0,0.0922242898545,-0.0922242898545,-1.1369680547e-16,32.0642229746,-183.796854135,-311.603939029,104
5,-168.578437962,0.870416653109,-258.321080875,3.59719819345,0.897564759743,1.28015526285,316.4619128338033,0.00723347399614,0.0,0.0454991795916,-0.0454991795916,-2.34312588247e-17,34.3083537832,-189.914257976,-341.040191199,104
6,-163.13960982,0.842059576291,-248.940980661,3.48000601298,0.8822971436,1.24703402165,308.67719451021605,0.00345407185839,0.0,0.193158779613,-0.193158779613,4.74054926268e-17,31.1504171354,-171.04405389,-325.303593944,104
7,-157.653014206,0.823473250608,-240.156123925,3.40319372207,0.880598015295,1.22471432075,297.564466412407,0.0058174949945,0.0,0.0938802607632,-0.0938802607632,8.58121231974e-17,31.2331743939,-182.83987674,-326.905322113,104
8,-162.395329523,0.794500417345,-247.460060806,3.28345678563,0.890709439213,1.18889676549,296.28284899656245,0.00534692305514,0.0,0.27607344848,-0.27607344848,2.34371343154e-16,32.7792243921,-181.277190697,-322.484096282,104
9,-165.277815298,0.777783000305,-252.446611069,3.21436819207,0.872175305239,1.16763081958,294.91331279007613,0.00723495202872,0.0,0.0406607112509,-0.0406607112509,-5.41428131801e-17,35.791653769,-175.475333605,-332.510456477,104
10,-163.078827518,0.753972781324,-249.738061814,3.11596695353,0.899149942515,1.13653952254,288.34780718201137,0.00706625896848,0.0,0.172245346376,-0.172245346376,3.46116313045e-16,31.5382095905,-181.967595553,-312.951834032,104
