MeanKLBefore,Total cost,MinReturn,AveragePolicyStd,StdReturn,MeanKL,Iteration,LossBefore,AverageReturn,LossAfter,AverageDiscountedReturn,ExplainedVariance,NumTrajs,MaxReturn,dLoss,Perplexity,Entropy
0.0,352.35372083562254,-317.20288847,1.0,29.5420138509,0.00854730775968,0,-0.0,-246.320842464,-0.0244028524465,-160.069556209,4.8825388177e-12,204,-178.700790775,0.0244028524465,4.13273135412,1.4189385332
0.0,334.3372393385332,-313.389885147,0.949034891969,31.2033937145,0.00641579616463,1,-1.2331440506e-16,-249.797577225,-0.128204577428,-162.504573148,0.898167090527,204,-184.482680848,0.128204577428,3.92210625419,1.36662881925
0.0,324.60212453721704,-349.853562271,0.906067610721,30.5242553917,0.00815747461453,2,-2.37847456114e-16,-256.955748671,-0.174340211771,-166.537976096,0.902669716314,204,-184.77005428,0.174340211771,3.74453402378,1.320297183
0.0,312.71293031457105,-315.663061177,0.861118675087,31.689129768,0.00640334015263,3,-1.35952434193e-16,-257.744562195,-0.0954033780113,-167.098651118,0.90464696034,204,-175.011748755,0.0954033780113,3.55877214815,1.26941558317
0.0,298.2867476483891,-320.014008668,0.830439775533,29.6451276148,0.00524056617706,4,4.83873730477e-17,-247.028977968,-0.155327645274,-160.984232187,0.895731381349,204,-175.482138435,0.155327645274,3.43198449806,1.23313866473
0.0,290.4090125203448,-325.504049872,0.797855695973,32.2616828594,0.00715652790902,5,1.53793302023e-16,-249.056246983,-0.0550560042053,-162.518785601,0.895002090935,204,-181.464770156,0.0550560042053,3.29732325081,1.19311100321
0.0,291.5882231656067,-313.950187376,0.765789130673,30.3687870582,0.00342797842323,6,-7.04204499292e-17,-256.846744878,-0.090448145487,-167.060547813,0.907149367169,204,-188.958582114,0.090448145487,3.16480075098,1.15209009974
0.0,281.9146930120969,-317.236169936,0.753868647022,29.8834130342,0.00742815565739,7,6.82978215232e-17,-250.866361782,-0.113698707731,-163.737806337,0.900946039408,204,-180.880062159,0.113698707731,3.11553659444,1.13640139886
0.0,269.98448797188456,-311.334129875,0.717941835303,32.2436220457,0.00721116999616,8,-1.17976780639e-16,-244.210553809,-0.0340952154672,-159.256139464,0.888369498284,204,-162.241808817,0.0340952154672,2.96706073319,1.08757181066
0.0,267.3680965100685,-308.681503563,0.678229018613,31.5285467501,0.00538396841365,9,1.98761183369e-16,-245.046542668,-0.0391371712596,-159.482075286,0.891804592675,204,-186.250317152,0.0391371712596,2.8029383305,1.03066827069
0.0,265.49523802544974,-318.072372126,0.654423291978,29.8171564727,0.00515415158855,10,-1.50246704378e-16,-245.813893661,-0.107178211805,-159.613445629,0.90093112286,204,-178.504966069,0.107178211805,2.70455565763,0.994937631754
0.0,250.54829576130797,-298.441255825,0.635424563276,27.9409952648,0.00790990649137,11,-1.28961157467e-17,-231.543376218,-0.0437974049889,-151.40465457,0.892404001864,204,-173.952551503,0.0437974049889,2.62603901583,0.965476633283
0.0,248.31936206347717,-303.865735924,0.62113362244,26.353489819,0.00391968943621,12,-5.36252841989e-17,-228.334701725,-0.0636249182941,-149.157535867,0.901437774989,204,-168.848056285,0.0636249182941,2.56697839656,0.942729486021
0.0,245.85481002720772,-282.92854507,0.608085089781,21.9923129939,0.00470375017967,13,-1.2800874412e-16,-226.208826179,-0.066961083014,-147.566542563,0.914204526347,204,-169.253217397,0.066961083014,2.51305231651,0.921498076695
0.0,242.7424833792406,-300.330655873,0.593252679473,26.0376420379,0.00386153884146,14,3.43164666093e-17,-225.506968702,-0.0382248194443,-147.084343912,0.896942375474,204,-168.139628849,0.0382248194443,2.45175394938,0.896803666129
0.0,243.85345842101552,-300.463324665,0.577665881369,30.0269219765,0.00447860441687,15,-1.76717817098e-16,-227.846487518,-0.0343940488468,-148.591257694,0.873801211899,204,-165.402449961,0.0343940488468,2.38733790014,0.870178895838
0.0,237.5703797927451,-297.522368019,0.569227181261,28.3113612217,0.00203491269585,16,-1.75549131831e-16,-221.840243352,-0.093628166738,-145.166598836,0.882006460677,204,-158.162503137,0.093628166738,2.35246301962,0.855462872744
0.0,239.5039410781438,-294.843038113,0.562038199026,29.0536948191,0.0014219591992,17,8.35585203373e-17,-224.476751652,-0.0790690312318,-146.359921519,0.878900016957,204,-160.62050723,0.0790690312318,2.32275288733,0.842753071603
0.0,235.94986343657135,-296.21098087,0.555936170523,30.4719893487,0.00385594855668,18,-2.96803077639e-16,-220.814608337,-0.0836854573078,-144.575793321,0.870716849829,204,-167.581802524,0.0836854573078,2.29753484281,0.831836740664
0.0,240.0945263356034,-294.667244488,0.548464776986,30.9876457992,0.00485906416436,19,-2.26706542312e-16,-226.369625798,-0.0673903511935,-147.679020393,0.862967274356,204,-166.148296689,0.0673903511935,2.26665758048,0.818306314895
0.0,231.97985849513313,-279.209099616,0.546608846641,23.9246517858,0.00355641040062,20,-1.33945758517e-16,-216.250784497,-0.0642904598833,-142.298491374,0.879081184876,204,-159.741224292,0.0642904598833,2.25898751895,0.814916712439
0.0,227.03620662214348,-285.154177703,0.537259246073,26.5166615,0.00446554204742,21,6.42600597056e-17,-211.49001683,-0.0799898384424,-139.929076262,0.874880496031,204,-144.67867646,0.0799898384424,2.22034813154,0.797663999598
0.0,224.72826918903635,-280.150243751,0.528847513707,24.5437879592,0.00307820753957,22,7.55455871781e-17,-209.150080276,-0.109487154081,-138.674172632,0.885111532596,204,-152.585314224,0.109487154081,2.18558470144,0.781883390665
0.0,218.63977928349132,-274.749403495,0.521130192772,26.3510272409,0.00844460004817,23,-3.19701395944e-17,-202.327708442,-0.0151184045657,-135.306684824,0.864284750365,203,-146.234694862,0.0151184045657,2.15369108725,0.767183154915
0.0,213.78851408028888,-278.133756351,0.512913356559,24.2385150403,0.00480157315895,24,2.39976997668e-16,-196.788559395,-0.0361969167064,-132.201431695,0.868092760999,204,-141.684183557,0.0361969167064,2.1197331106,0.751290189532
0.0,210.22831799255172,-260.341813912,0.501710638112,25.5380319961,0.0041046224422,25,-1.08424706752e-16,-192.24702514,-0.111551845252,-129.409499724,0.854512435543,204,-129.149821328,0.111551845252,2.07343528482,0.729206789618
0.0,206.52090009227192,-254.972393795,0.498191088397,24.8467572122,0.00426260920535,26,2.76128944755e-16,-187.804779632,-0.0717061503017,-127.16041711,0.85562316994,204,-117.358757645,0.0717061503017,2.05888993136,0.722166969289
0.0,200.51385716723897,-253.846580098,0.480357204812,22.153511627,0.00229429489862,27,8.24140228503e-17,-182.552261788,-0.0397299529076,-124.499656658,0.868121567068,204,-130.142598781,0.0397299529076,1.9851872815,0.685713258053
0.0,200.43063370587473,-261.203076508,0.478664555891,25.6489034981,0.00343599390202,28,-1.9082219362e-16,-182.895527814,-0.00600854733013,-124.610612638,0.840741678591,204,-120.843501934,0.00600854733013,1.97819201824,0.682183305454
0.0,200.30217627831382,-239.660333138,0.476897624903,25.0185304734,0.00358689132633,29,-1.89847177632e-16,-182.876128331,-0.0290479940164,-124.630052929,0.850639940818,204,-132.342235385,0.0290479940164,1.97088976715,0.678485099232
0.0,199.9015448527112,-261.315040309,0.484996350117,24.6241696163,0.00494185231805,30,-1.67816692534e-16,-181.097191286,-0.0908511528935,-123.436824203,0.849042705448,204,-131.062329397,0.0908511528935,2.00435962276,0.695324619599
0.0,197.2036354365447,-244.929802708,0.482279264877,24.7790096902,0.00402841026474,31,-2.64821768833e-16,-178.969205489,-0.0838122036549,-122.364472455,0.847547234164,203,-120.934369685,0.0838122036549,1.9931306394,0.689706588204
0.0,197.18087744646198,-254.044921196,0.465329790434,24.6334275993,0.00352030374402,32,-5.38211643189e-17,-178.573874874,-0.018557818695,-121.976238184,0.842321490308,204,-123.08012992,0.018557818695,1.92308301493,0.653929635167
0.0,194.65575330806092,-243.213374521,0.467161566539,24.0932523678,0.00624387120569,33,3.80352972639e-16,-175.316037555,-0.0118022751272,-120.676833666,0.850246040413,204,-117.590017124,0.0118022751272,1.93065325347,0.657858418951
0.0,191.41536064265242,-249.528845721,0.466752926177,25.8398257352,0.0043015656092,34,-1.28182531483e-16,-170.856413914,-0.0432719218534,-118.287617843,0.825724072715,204,-108.285411567,0.0432719218534,1.92896445264,0.656983305884
0.0,192.14199516447792,-235.885012765,0.452319956762,24.9892710362,0.00408192773916,35,-2.08467631105e-16,-171.243083351,-0.118651141157,-118.014325162,0.825508727905,204,-118.019235296,0.118651141157,1.86931686741,0.625573052577
0.0,191.2608119235544,-245.942128815,0.446266959177,24.8501900916,0.00631415533031,36,4.77417286597e-17,-171.162264875,-0.000625825815957,-118.08195079,0.825486641079,204,-119.394786423,0.000625825815957,1.8443014545,0.612100590352
0.0,187.10785528694603,-236.368251715,0.459242782678,21.82319415,0.00289409269225,37,2.86914485841e-17,-167.039906495,-0.0865812496868,-115.864832764,0.84694072253,204,-112.98670535,0.0865812496868,1.89792704713,0.64076226274
0.0,187.58157736482386,-224.574354451,0.457695640079,25.3947590442,0.0031503773364,38,2.35716722651e-16,-167.160711795,-0.0706078014539,-115.529928936,0.815220041248,204,-111.010202456,0.0706078014539,1.8915331224,0.637387676119
0.0,186.17892296349825,-241.131411189,0.447934945369,27.7026119089,0.00467294352729,39,-1.84078291373e-16,-164.6801915,-0.00604740250676,-113.80472979,0.795388153175,204,-100.596710678,0.00604740250676,1.85119479333,0.615831264863
0.0,185.5903110355093,-236.909414425,0.452355883389,25.1214885168,0.00310714764039,40,-9.63096134714e-17,-163.144826623,-0.0262703208166,-113.092493947,0.807697234807,204,-103.578039738,0.0262703208166,1.8694653425,0.625652476885
0.0,186.58782655549697,-229.005133911,0.443231249439,24.2732782593,0.00351253191981,41,-1.19566316299e-16,-164.938069302,-0.063588515349,-114.244460731,0.819395197778,204,-87.9146952226,0.063588515349,1.83175568168,0.605274895833
0.0,189.49622307124807,-262.201822434,0.440365640888,25.7070987966,0.00289364918147,42,2.573903363e-16,-167.976581855,-0.0479764092838,-116.114189218,0.817759030824,204,-113.928522809,0.0479764092838,1.81991289138,0.598788638063
0.0,187.05307808357975,-227.038785192,0.433721992296,24.8380418643,0.00377263165174,43,-2.04508651154e-16,-165.699157328,-0.0890583727091,-115.095110411,0.830453429614,204,-99.1013361356,0.0890583727091,1.79245647654,0.583587012324
0.0,188.6264501806716,-259.506459846,0.437403124725,24.9548027917,0.00544208666337,44,-1.94020822044e-16,-167.005956845,-0.0706710660979,-115.512667654,0.818594442991,204,-109.679247086,0.0706710660979,1.80766960794,0.592038506301
0.0,184.95013720056227,-233.735454232,0.43351522279,25.83209743,0.00436622023712,45,-2.55358121677e-16,-163.577542724,-0.00134099475138,-113.543406767,0.80789847988,204,-104.677429803,0.00134099475138,1.79160195371,0.583110165835
