MinReturn,Total cost,StdReturn,LossBefore,Iteration,ExplainedVariance,Perplexity,AverageReturn,NumTrajs,AverageDiscountedReturn,MaxReturn,Entropy,LossAfter,MeanKL,dLoss,MeanKLBefore,AveragePolicyStd
-307.502838976,254.37410151449723,28.4490587749,-1.06663011756e-10,0,4.81858997148e-12,4.13273135412,-248.856680993,204,-161.398921294,-174.484363216,1.4189385332,-779.053230598,0.0076273504934,779.053230598,0.0,1.0
-318.313784042,257.11958839347267,28.3073039645,5.21138687759e-11,1,0.898724279651,4.1403065173,-250.380471547,204,-162.576796568,-172.888047017,1.42076982309,-986.485878143,0.00884206084883,986.485878143,0.0,1.00183296772
-308.588643558,254.68320852696095,26.6336521715,6.19947426728e-11,2,0.904921082767,4.05692212489,-247.656762937,204,-160.775093035,-168.615096812,1.40042458879,-879.563121777,0.00841735681968,879.563121777,0.0,0.981656385877
-323.21831862,255.22575093700812,32.1055794958,-6.6582739322e-11,3,0.877880127003,4.11920899413,-250.284815019,204,-163.085020438,-173.115735505,1.41566115321,-574.632844536,0.00614886598587,574.632844536,0.0,0.996727984756
-319.688164841,258.7537304099403,35.2038477336,-9.40498789959e-11,4,0.882974700329,4.1600985498,-252.803871569,204,-165.914033627,-168.360581352,1.42553876385,-603.103102742,0.00699653737494,603.103102741,0.0,1.00662206017
-338.314226089,246.96496369380566,27.4596426915,-1.22039045536e-11,5,0.885433557939,4.16077409703,-240.052095698,204,-157.567505883,-169.538280815,1.42570113798,-676.031308698,0.00601066808385,676.031308698,0.0,1.00678552282
-330.343160465,252.18856088668352,28.8509181812,-7.87436782446e-12,6,0.897226113191,4.19486794468,-245.456725888,204,-160.341656853,-185.669839816,1.43386186021,-989.845502106,0.00827553697791,989.845502106,0.0,1.01503523584
-302.515475218,246.27638173759897,24.8279955814,-2.20907736548e-11,7,0.902992126705,4.26835810224,-238.596633972,204,-154.936940323,-184.74010675,1.45122923391,-787.315127792,0.00806446152912,787.315127792,0.0,1.03281770251
-310.125376543,248.80887180080364,27.3358701325,1.5312551227e-10,8,0.8988393032,4.23475926397,-242.436600098,204,-157.807955614,-172.079061265,1.44332648209,-750.064851337,0.00755934819206,750.064851337,0.0,1.02468776727
-306.729384237,250.05315897865628,26.4672797371,-6.51068088331e-11,9,0.895907574289,4.19553757788,-242.438551416,204,-157.467508882,-172.375969091,1.434021479,-625.471398868,0.0053328703287,625.471398867,0.0,1.01519726747
-321.773421229,251.79006399156646,28.289239623,6.12110362397e-11,10,0.89270599454,4.1493580495,-243.56910377,204,-159.195309266,-178.415892766,1.42295363541,-971.968767946,0.00884093300718,971.968767947,0.0,1.00402317353
